case,repetition,arm,samples,median_ms,min_ms,max_ms,speedup,groups,sampled_query_peak_bytes_median,sampled_query_peak_bytes_max,sampled_batch_native_peak_delta_bytes_median,sampled_batch_native_peak_delta_bytes_max,sampled_native_peak_delta_bytes_median,sampled_native_peak_delta_bytes_max,retained_query_bytes_median,retained_query_bytes_max,retained_native_delta_bytes_median,retained_native_delta_bytes_max,build_ns_median,init_ns_median,probe_ns_median,merge_ns_median,build_rows_median,build_keys_median,build_bytes_median,scanned_rows_median,matched_pairs_median,null_extended_rows_median,surviving_rows_median,merge_cardinality_median,batch_median_ms,queries_per_second
hot-chain,0,candidate,10,636.0957235,633.312643,647.946719,5.788083181477323,60,190832.0,190832,199024.0,199024,,,170160.0,170160,,,559540.5,61189.5,635079559.0,78712.0,1000.0,1.0,33920.0,100000.0,90099000.0,0.0,90099000.0,60.0,636.353545,1.5714534913135434
hot-chain,1,baseline,10,3678.22009,3672.492543,3691.526251,1.0,60,268812.0,268812,285460.0,285460,,,268812.0,268812,,,,,,,,,,,,,,,3678.470873,0.2718520914056997
hot-chain,1,candidate,10,640.352122,629.381246,645.253856,5.744058563453937,60,190832.0,190832,199024.0,309424,,,170160.0,170160,,,422479.5,58740.5,639576256.5,75281.0,1000.0,1.0,33920.0,100000.0,90099000.0,0.0,90099000.0,60.0,640.586585,1.5610692190814455
hot-key-90pct,0,baseline,10,471.560762,470.100548,475.32956,1.0,120,469004.0,470028,485656.0,892696,,,469004.0,469004,,,,,,,,,,,,,,,471.8123925,2.1194865075528937
hot-key-90pct,0,candidate,10,83.203833,82.180231,88.683974,5.66753651841977,120,969072.0,1049728,1001840.0,1476224,,,927920.0,927920,,,878451.5,64826.0,81567259.5,218534.0,10000.0,10000.0,786560.0,10000000.0,9099964.0,0.0,9099964.0,120.0,83.446767,11.983687756291385
hot-key-90pct,1,baseline,10,470.3522785,468.148881,472.00106,1.0,120,469004.0,469004,485656.0,485656,,,469004.0,469004,,,,,,,,,,,,,,,470.595393,2.124967678975982
hot-key-90pct,1,candidate,10,82.4901145,81.953206,89.370898,5.701922967993941,120,969072.0,969072,1001840.0,1001840,,,927920.0,927920,,,715066.0,62351.0,81166786.5,163516.0,10000.0,10000.0,786560.0,10000000.0,9099964.0,0.0,9099964.0,120.0,82.727558,12.087870404684253
inner-swapped,0,baseline,10,37.2658795,30.926393,43.517953,1.0,120,17115148.0,17115148,17166264.0,17166264,,,17115148.0,17115148,,,,,,,,,,,,,,,37.4433455,26.7070152692419
inner-swapped,0,candidate,10,38.5167315,36.047623,39.628795,0.9675244510298077,120,50855936.0,50855936,50860032.0,50860032,,,34220080.0,34220080,,,32274452.0,187535.5,5367886.0,216144.0,1000000.0,10000.0,34078720.0,10000.0,100044.0,0.0,100044.0,120.0,40.62441,24.615742111700822
inner-swapped,1,baseline,10,34.715022,29.50205,42.374887,1.0,120,17115148.0,17115148,17166264.0,17166264,,,17115148.0,17115148,,,,,,,,,,,,,,,34.8572475,28.688438466060752
inner-swapped,1,candidate,10,37.7665545,35.636724,40.105455,0.9192001351354411,120,50855936.0,50855936,50860032.0,50860032,,,34220080.0,34220080,,,32415349.5,143348.0,5248693.5,178208.0,1000000.0,10000.0,34078720.0,10000.0,100044.0,0.0,100044.0,120.0,40.1442025,24.91019718227059
inner,0,baseline,10,235.6014365,233.725466,237.277174,1.0,120,469004.0,469004,485656.0,892696,,,469004.0,469004,,,,,,,,,,,,,,,235.8561225,4.239872975949564
inner,0,candidate,10,37.803323,36.263056,39.249727,6.232294354123313,120,969072.0,1049728,1001840.0,1476224,,,927920.0,927920,,,1045999.5,82199.0,35838371.5,196251.5,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,38.0425,26.286390221462838
inner,1,baseline,10,234.7313255,234.35914,235.476808,1.0,120,469004.0,469004,485656.0,485656,,,469004.0,469004,,,,,,,,,,,,,,,234.9457515,4.2563016935422215
inner,1,candidate,10,35.9585605,34.694153,40.422398,6.527828762778198,120,969072.0,969072,1001840.0,1001840,,,927920.0,927920,,,779752.0,75802.0,34459424.5,158826.5,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,36.197748,27.626028005941144
left-swapped,0,baseline,10,41.128016,37.110979,47.325137,1.0,120,17049608.0,17049608,17100724.0,17100724,,,17049608.0,17049608,,,,,,,,,,,,,,,41.3437845,24.187432575264125
left-swapped,0,candidate,10,33.7304925,32.73379,36.120328,1.2193126441898232,120,50855936.0,50855936,50860032.0,50860032,,,34220080.0,34220080,,,28865426.0,188407.5,4726056.5,204948.0,1000000.0,10000.0,34078720.0,10000.0,100044.0,0.0,100044.0,120.0,35.6339245,28.06314527606972
left-swapped,1,baseline,10,35.0748745,29.772836,42.698601,1.0,120,17049608.0,17049608,17100724.0,17100724,,,17049608.0,17049608,,,,,,,,,,,,,,,35.2596245,28.361050753674363
