case,repetition,arm,samples,median_ms,min_ms,max_ms,speedup,groups,sampled_query_peak_bytes_median,sampled_query_peak_bytes_max,sampled_batch_native_peak_delta_bytes_median,sampled_batch_native_peak_delta_bytes_max,sampled_native_peak_delta_bytes_median,sampled_native_peak_delta_bytes_max,retained_query_bytes_median,retained_query_bytes_max,retained_native_delta_bytes_median,retained_native_delta_bytes_max,build_ns_median,init_ns_median,probe_ns_median,merge_ns_median,build_rows_median,build_keys_median,build_bytes_median,scanned_rows_median,matched_pairs_median,null_extended_rows_median,surviving_rows_median,merge_cardinality_median,batch_median_ms,queries_per_second
inner,1,candidate,10,74.5139875,73.566047,77.027271,3.253961164002933,120,1020272.0,1020272,1020272.0,1020272,,,979120.0,979120,,,788938.0,73056.5,73051617.0,172312.0,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,74.747428,13.378386745293765
left-swapped,0,baseline,10,37.881328,30.600029,43.256367,1.0,120,17126056.0,17126056,17126324.0,17126324,,,17075208.0,17075208,,,,,,,,,,,,,,,38.056245,26.27689620980735
left-swapped,0,candidate,10,40.997948,37.937994,43.2042,0.9239810733942099,120,50864640.0,50864640,50864640.0,50864640,,,34232880.0,34232880,,,35710103.0,163896.0,4165409.0,217952.0,1000000.0,10000.0,34078720.0,10000.0,100044.0,0.0,100044.0,120.0,44.3014085,22.57264574330633
left-swapped,1,baseline,10,37.930565,30.271495,43.175375,1.0,120,17126056.0,17126056,17126324.0,17126324,,,17075208.0,17075208,,,,,,,,,,,,,,,38.146844,26.21448841219997
left-swapped,1,candidate,10,38.2601255,33.693236,43.178862,0.9913863194202016,120,50864640.0,50864640,50864640.0,50864640,,,34232880.0,34232880,,,33609114.0,150471.0,4061796.0,189273.5,1000000.0,10000.0,34078720.0,10000.0,100044.0,0.0,100044.0,120.0,41.4532235,24.1235763004052
left,0,baseline,10,598.4070635,596.171513,602.398567,1.0,180,439304.0,811872,439572.0,812140,,,439304.0,439304,,,,,,,,,,,,,,,598.6527325,1.6704174986790026
left,0,candidate,10,127.8343075,127.120545,133.686405,4.68111475864959,180,1063280.0,1497656,1063280.0,1497656,,,989360.0,989360,,,1109872.5,84723.5,125926200.0,245418.0,10000.0,10000.0,786560.0,10000000.0,999862.0,9000138.0,10000000.0,180.0,128.0822845,7.807480979151336
left,1,baseline,10,595.8011425,589.926284,605.097446,1.0,180,439304.0,439304,439572.0,439572,,,439304.0,439304,,,,,,,,,,,,,,,596.0290875,1.6777704661939004
left,1,candidate,10,126.944775,125.866327,130.01965,4.693388463605532,180,1063280.0,1063280,1063280.0,1063280,,,989360.0,989360,,,811475.0,76047.0,125191105.0,207352.5,10000.0,10000.0,786560.0,10000000.0,999862.0,9000138.0,10000000.0,180.0,127.1904235,7.862227143225135
match-001pct,0,baseline,10,66.935555,65.58908,69.297646,1.0,120,299532.0,299532,299800.0,299800,,,299532.0,299532,,,,,,,,,,,,,,,67.1148645,14.899828934319014
match-001pct,0,candidate,10,46.7768695,45.968605,48.617802,1.4309541385620088,120,231024.0,232048,231024.0,325040,,,193968.0,193968,,,395593.5,62031.0,45734603.0,170673.5,10.0,10.0,1408.0,10000000.0,992.0,0.0,992.0,120.0,46.957442,21.295878936505954
match-001pct,1,baseline,10,65.635512,65.39119,66.965521,1.0,120,299532.0,299532,299800.0,299800,,,299532.0,299532,,,,,,,,,,,,,,,65.7778225,15.202692366412707
match-001pct,1,candidate,10,45.873643,45.399092,47.590965,1.4307891788755474,120,231024.0,231024,231024.0,325040,,,193968.0,193968,,,280169.0,56775.5,45123061.0,129412.0,10.0,10.0,1408.0,10000000.0,992.0,0.0,992.0,120.0,46.056925,21.712261511162545
match-100pct,0,baseline,10,779.6733275,772.807088,784.755409,1.0,120,7039688.0,7039688,7039952.0,7039952,,,5409804.0,5409804,,,,,,,,,,,,,,,779.9068285,1.2822044421938281
match-100pct,0,candidate,10,197.326583,192.192048,202.689374,3.9511824288773094,120,8688608.0,10609032,8688608.0,10609032,,,8581296.0,8581296,,,5947739.5,88044.5,190788322.0,223848.0,100000.0,100000.0,8388736.0,10000000.0,10000000.0,0.0,10000000.0,120.0,197.5749565,5.061370214701275
match-100pct,1,baseline,10,778.103677,773.617616,782.884295,1.0,120,7039688.0,7039688,7039952.0,7039952,,,5409804.0,5409804,,,,,,,,,,,,,,,778.359735,1.2847529940638567
match-100pct,1,candidate,10,196.490244,195.185582,197.27262,3.9600117601767546,120,8688608.0,8688608,8688608.0,8712368,,,8581296.0,8581296,,,5829378.5,81137.0,190215615.0,189163.5,100000.0,100000.0,8388736.0,10000000.0,10000000.0,0.0,10000000.0,120.0,196.78776,5.081616864788745
match-1pct,0,baseline,10,164.048763,162.110874,167.931154,1.0,120,322572.0,517300,322840.0,517312,,,322572.0,322572,,,,,,,,,,,,,,,164.225744,6.089179294569066
match-1pct,0,candidate,10,66.56061,65.331359,67.218022,2.464652337170588,120,299376.0,299376,299376.0,389296,,,258224.0,258224,,,673503.0,61104.0,65021105.0,194919.5,1000.0,1000.0,65664.0,10000000.0,99284.0,0.0,99284.0,120.0,66.769034,14.977002662641487
match-1pct,1,baseline,10,164.6865405,161.322673,166.119572,1.0,120,322572.0,322572,322840.0,322840,,,322572.0,322572,,,,,,,,,,,,,,,164.88709,6.064756191646053
match-1pct,1,candidate,10,66.530735,65.394517,68.234302,2.4753452746313416,120,299376.0,299376,299376.0,299376,,,258224.0,258224,,,487120.0,61825.5,65505545.5,166305.5,1000.0,1000.0,65664.0,10000000.0,99284.0,0.0,99284.0,120.0,66.7402965,14.98345156437835
match-50pct,0,baseline,10,501.690292,500.311491,503.154257,1.0,120,2788364.0,3631816,2788632.0,3632084,,,2788364.0,2788364,,,,,,,,,,,,,,,501.9511325,1.9922258069613978
match-50pct,0,candidate,10,130.8954205,129.593554,132.938872,3.8327566394883923,120,4428144.0,4439432,4428144.0,4439432,,,4386992.0,4386992,,,2868698.0,85780.0,127319161.0,227940.5,50000.0,50000.0,4194432.0,10000000.0,4996817.0,0.0,4996817.0,120.0,131.1468955,7.625037529005024
match-50pct,1,baseline,10,501.5910905,495.800965,502.911573,1.0,120,2788364.0,2788364,2788632.0,2788632,,,2788364.0,2788364,,,,,,,,,,,,,,,501.843472,1.9926531992429704
match-50pct,1,candidate,10,131.2406975,130.48989,134.546036,3.8219172867471234,120,4428144.0,4428144,4428144.0,4428144,,,4386992.0,4386992,,,2772203.0,83756.5,127720157.0,178859.0,50000.0,50000.0,4194432.0,10000000.0,4996817.0,0.0,4996817.0,120.0,131.4889465,7.605202008368057
mixed,0,baseline,10,316.769624,312.091123,320.446873,1.0,120,12340436.0,12340436,12340864.0,12340864,,,12340436.0,12340436,,,,,,,,,,,,,,,317.0548365,3.1540285303296423
mixed,0,candidate,10,78.0137945,76.660972,80.513689,4.060430928020044,120,17831594.0,17930108,17831602.0,17930116,,,4450840.0,4450840,,,1210731.5,61129.0,75925557.5,160349.5,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,78.282456,12.774254297795665
mixed,1,baseline,10,312.9155845,312.227499,313.633766,1.0,120,12340436.0,12340436,12340864.0,12340864,,,12340436.0,12340436,,,,,,,,,,,,,,,313.179999,3.193051929219784
mixed,1,candidate,10,77.2100425,76.500392,79.30989,4.052783476968038,120,16838480.0,17930108,16838488.0,17930116,,,4450840.0,4450840,,,852432.5,54506.5,75758260.5,146925.0,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,77.4662415,12.908848817713713
near-input-groups,0,baseline,10,39.7356795,35.112367,48.098768,1.0,99157,19948556.0,19948556,19948812.0,19948812,,,19948556.0,19948556,,,,,,,,,,,,,,,39.945667,25.03400431390969
near-input-groups,0,candidate,10,33.2507185,31.018648,36.891691,1.19503220659728,99157,29108224.0,29775360,29108224.0,29775360,,,20902400.0,20902400,,,4484733.5,75972.0,4265905.0,1237627.0,100000.0,100000.0,6291456.0,100000.0,100000.0,0.0,100000.0,99157.0,33.665549,29.703956409562785
near-input-groups,1,baseline,10,39.1534765,35.443245,43.656769,1.0,99157,19948556.0,19948556,19948812.0,19948812,,,19948556.0,19948556,,,,,,,,,,,,,,,39.4121745,25.372870507309866
near-input-groups,1,candidate,10,31.1153005,29.491485,36.108939,1.258335155721861,99157,29056512.0,29874688,29056512.0,29874688,,,20902400.0,20902400,,,4317782.0,62407.0,3518823.5,786098.5,100000.0,100000.0,6291456.0,100000.0,100000.0,0.0,100000.0,99157.0,31.466351,31.779979826704405
near-memory-limit,0,baseline,10,2629.922295,2425.014255,2691.162129,1.0,120,55411100.0,55692968,55411364.0,55693232,,,42148364.0,42148364,,,,,,,,,,,,,,,2630.1768155,0.38020257577622163
near-memory-limit,0,candidate,10,484.026006,472.124073,499.486109,5.43343180407542,120,84835744.0,84887032,84835744.0,84887032,,,67301552.0,67301552,,,104220131.0,114784.5,380919920.5,230886.5,1000000.0,1000000.0,67108992.0,10000000.0,10000000.0,0.0,10000000.0,120.0,486.781749,2.05430873703525
near-memory-limit,1,baseline,10,2618.575486,2467.249024,2736.579771,1.0,120,55459112.0,55692968,55459376.0,55693232,,,42148364.0,42148364,,,,,,,,,,,,,,,2618.845301,0.38184767905845846
