storage,mode,dimension,cardinality,phase,heap_bytes,heap_objects,largest_array_bytes,query_native_bytes
mixed,sharded,keys,65536,output1,1741376,31453,16400,5845060
mixed,sharded,keys,65536,closed1,1740568,31432,16400,0
mixed,sharded,keys,65536,live2,1741376,31453,16400,5845060
mixed,sharded,keys,65536,output2,1741376,31453,16400,5845060
mixed,sharded,keys,65536,closed2,1740568,31432,16400,0
mixed,sharded,keys,262144,live1,1741376,31453,16400,19435588
mixed,sharded,keys,262144,output1,1741376,31453,16400,19435588
mixed,sharded,keys,262144,closed1,1740568,31432,16400,0
mixed,sharded,keys,262144,live2,1741376,31453,16400,19435588
mixed,sharded,keys,262144,output2,1741376,31453,16400,19435588
mixed,sharded,keys,262144,closed2,1740568,31432,16400,0
mixed,sharded,symbols_groups,1024,live1,1741376,31453,16400,1413702
mixed,sharded,symbols_groups,1024,output1,1741376,31453,16400,1413702
mixed,sharded,symbols_groups,1024,closed1,1740568,31432,16400,0
mixed,sharded,symbols_groups,1024,live2,1741376,31453,16400,1413702
mixed,sharded,symbols_groups,1024,output2,1741376,31453,16400,1413702
mixed,sharded,symbols_groups,1024,closed2,1740568,31432,16400,0
mixed,sharded,symbols_groups,8192,live1,1741376,31453,16400,2238922
mixed,sharded,symbols_groups,8192,output1,1741376,31453,16400,2238922
mixed,sharded,symbols_groups,8192,closed1,1740568,31432,16400,0
mixed,sharded,symbols_groups,8192,live2,1741376,31453,16400,2237048
mixed,sharded,symbols_groups,8192,output2,1741376,31453,16400,2237048
mixed,sharded,symbols_groups,8192,closed2,1740568,31432,16400,0
mixed,sharded,symbols_groups,65536,live1,1741376,31453,16400,12835270
mixed,sharded,symbols_groups,65536,output1,1741376,31453,16400,12835270
mixed,sharded,symbols_groups,65536,closed1,1740568,31432,16400,0
mixed,sharded,symbols_groups,65536,live2,1741376,31453,16400,12815046
mixed,sharded,symbols_groups,65536,output2,1741376,31453,16400,12815046
mixed,sharded,symbols_groups,65536,closed2,1740568,31432,16400,0
mixed,sharded,symbols_groups,262144,live1,1741376,31453,16400,51890374
mixed,sharded,symbols_groups,262144,output1,1741376,31453,16400,51890374
mixed,sharded,symbols_groups,262144,closed1,1740568,31432,16400,0
mixed,sharded,symbols_groups,262144,live2,1741376,31453,16400,51559622
mixed,sharded,symbols_groups,262144,output2,1741376,31453,16400,51559622
mixed,sharded,symbols_groups,262144,closed2,1740568,31432,16400,0
mixed,sharded,fanout,1024,live1,1741216,31443,16400,1351708
mixed,sharded,fanout,1024,output1,1741216,31443,16400,1351708
mixed,sharded,fanout,1024,closed1,1741120,31439,16400,0
mixed,sharded,fanout,1024,live2,1741216,31443,16400,1351708
mixed,sharded,fanout,1024,output2,1741216,31443,16400,1351708
