storage,mode,dimension,cardinality,phase,heap_bytes,heap_objects,largest_array_bytes,query_native_bytes
native,sharded,fanout,8192,closed2,1536272,24947,16400,0
native,sharded,fanout,65536,live1,1537936,24995,16400,3415936
native,sharded,fanout,65536,output1,1537936,24995,16400,3415936
native,sharded,fanout,65536,closed1,1536272,24947,16400,0
native,sharded,fanout,65536,live2,1537936,24995,16400,3415936
native,sharded,fanout,65536,output2,1537936,24995,16400,3415936
native,sharded,fanout,65536,closed2,1536272,24947,16400,0
native,sharded,fanout,262144,live1,1537936,24995,16400,9707392
native,sharded,fanout,262144,output1,1537936,24995,16400,9707392
native,sharded,fanout,262144,closed1,1536272,24947,16400,0
native,sharded,fanout,262144,live2,1537936,24995,16400,9707392
native,sharded,fanout,262144,output2,1537936,24995,16400,9707392
native,sharded,fanout,262144,closed2,1536272,24947,16400,0
native,scalar,rows,1024,live1,262624,5709,16400,10368
native,scalar,rows,1024,output1,262624,5709,16400,10368
native,scalar,rows,1024,closed1,258496,5612,16400,0
native,scalar,rows,1024,live2,262936,5709,16400,10368
native,scalar,rows,1024,output2,262936,5709,16400,10368
native,scalar,rows,1024,closed2,258808,5612,16400,0
native,scalar,rows,8192,live1,263656,5709,16400,29312
native,scalar,rows,8192,output1,263656,5709,16400,29312
native,scalar,rows,8192,closed1,259528,5612,16400,0
native,scalar,rows,8192,live2,263656,5709,16400,29312
native,scalar,rows,8192,output2,263656,5709,16400,29312
native,scalar,rows,8192,closed2,259528,5612,16400,0
native,scalar,rows,65536,live1,263784,5709,16400,208512
native,scalar,rows,65536,output1,263784,5709,16400,208512
native,scalar,rows,65536,closed1,259656,5612,16400,0
native,scalar,rows,65536,live2,263784,5709,16400,208512
native,scalar,rows,65536,output2,263784,5709,16400,208512
native,scalar,rows,65536,closed2,259656,5612,16400,0
native,scalar,rows,262144,live1,263800,5709,16400,822912
native,scalar,rows,262144,output1,263800,5709,16400,822912
native,scalar,rows,262144,closed1,259672,5612,16400,0
native,scalar,rows,262144,live2,263800,5709,16400,822912
native,scalar,rows,262144,output2,263800,5709,16400,822912
native,scalar,rows,262144,closed2,259672,5612,16400,0
native,scalar,keys,1024,live1,263816,5709,16400,56448
native,scalar,keys,1024,output1,263816,5709,16400,56448
native,scalar,keys,1024,closed1,259688,5612,16400,0
native,scalar,keys,1024,live2,263816,5709,16400,56448
native,scalar,keys,1024,output2,263816,5709,16400,56448
native,scalar,keys,1024,closed2,259688,5612,16400,0
native,scalar,keys,8192,live1,263824,5709,16400,419456
native,scalar,keys,8192,output1,263824,5709,16400,419456
native,scalar,keys,8192,closed1,259696,5612,16400,0
native,scalar,keys,8192,live2,263824,5709,16400,419456
native,scalar,keys,8192,output2,263824,5709,16400,419456
native,scalar,keys,8192,closed2,259696,5612,16400,0
native,scalar,keys,65536,live1,263824,5709,16400,3351168
native,scalar,keys,65536,output1,263824,5709,16400,3351168
native,scalar,keys,65536,closed1,259696,5612,16400,0
native,scalar,keys,65536,live2,263824,5709,16400,3351168
native,scalar,keys,65536,output2,263824,5709,16400,3351168
native,scalar,keys,65536,closed2,259696,5612,16400,0
native,scalar,keys,262144,live1,263824,5709,16400,13402752
native,scalar,keys,262144,output1,263824,5709,16400,13402752
native,scalar,keys,262144,closed1,259696,5612,16400,0
native,scalar,keys,262144,live2,263824,5709,16400,13402752
native,scalar,keys,262144,output2,263824,5709,16400,13402752
native,scalar,keys,262144,closed2,259696,5612,16400,0
native,scalar,symbols_groups,1024,live1,263824,5709,16400,56448
native,scalar,symbols_groups,1024,output1,263824,5709,16400,56448
native,scalar,symbols_groups,1024,closed1,259696,5612,16400,0
native,scalar,symbols_groups,1024,live2,263824,5709,16400,56448
native,scalar,symbols_groups,1024,output2,263824,5709,16400,56448
native,scalar,symbols_groups,1024,closed2,259696,5612,16400,0
native,scalar,symbols_groups,8192,live1,263824,5709,16400,419456
native,scalar,symbols_groups,8192,output1,263824,5709,16400,419456
native,scalar,symbols_groups,8192,closed1,259696,5612,16400,0
native,scalar,symbols_groups,8192,live2,263824,5709,16400,419456
native,scalar,symbols_groups,8192,output2,263824,5709,16400,419456
native,scalar,symbols_groups,8192,closed2,259696,5612,16400,0
native,scalar,symbols_groups,65536,live1,263840,5709,16400,3351168
native,scalar,symbols_groups,65536,output1,263840,5709,16400,3351168
native,scalar,symbols_groups,65536,closed1,259712,5612,16400,0
native,scalar,symbols_groups,65536,live2,263840,5709,16400,3351168
native,scalar,symbols_groups,65536,output2,263840,5709,16400,3351168
native,scalar,symbols_groups,65536,closed2,259712,5612,16400,0
native,scalar,symbols_groups,262144,live1,263872,5709,16400,13402752
native,scalar,symbols_groups,262144,output1,263872,5709,16400,13402752
native,scalar,symbols_groups,262144,closed1,259744,5612,16400,0
native,scalar,symbols_groups,262144,live2,263872,5709,16400,13402752
native,scalar,symbols_groups,262144,output2,263872,5709,16400,13402752
native,scalar,symbols_groups,262144,closed2,259744,5612,16400,0
native,scalar,fanout,1024,live1,263872,5709,16400,24704
native,scalar,fanout,1024,output1,263872,5709,16400,24704
native,scalar,fanout,1024,closed1,259744,5612,16400,0
native,scalar,fanout,1024,live2,263872,5709,16400,24704
native,scalar,fanout,1024,output2,263872,5709,16400,24704
native,scalar,fanout,1024,closed2,259744,5612,16400,0
native,scalar,fanout,8192,live1,263872,5709,16400,139392
native,scalar,fanout,8192,output1,263872,5709,16400,139392
native,scalar,fanout,8192,closed1,259744,5612,16400,0
native,scalar,fanout,8192,live2,263872,5709,16400,139392
native,scalar,fanout,8192,output2,263872,5709,16400,139392
native,scalar,fanout,8192,closed2,259744,5612,16400,0
native,scalar,fanout,65536,live1,263872,5709,16400,1056896
native,scalar,fanout,65536,output1,263872,5709,16400,1056896
native,scalar,fanout,65536,closed1,259744,5612,16400,0
native,scalar,fanout,65536,live2,263872,5709,16400,1056896
